_id,Quarter,HB,HBQF,HBName,HBNameQF,ADPName,ADPNameQF,ServiceType,ServiceTypeQF,SubstanceType,SubstanceTypeQF,Measure,Waited_1_week_or_less,Waited_more_than_1_week_but_within_2_weeks,Waited_more_than_2_week_but_within_3_weeks,Waited_more_than_3_week_but_within_4_weeks,Waited_more_than_4_week_but_within_8_weeks,Waited_more_than_8_week_but_within_12_weeks,Waited_more_than_12_week_but_within_26_weeks,Waited_more_than_26_week_but_within_52_weeks,Waited_more_than_52_week,LDP_standard_waited_3_weeks_or_less,LDP_standard_waited_more_than_3_weeks,Median_length_of_wait_days
1,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Alcohol,"",Number,118,25,10,1,0,0,0,0,0,153,1,0
2,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,116,23,10,1,0,0,0,0,0,149,1,0
3,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Alcohol,"",Number,2,2,0,0,0,0,0,0,0,4,0,8.5
4,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Alcohol,"",Number,79,12,11,0,0,0,0,0,0,102,0,0
5,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,78,11,10,0,0,0,0,0,0,99,0,0
6,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Alcohol,"",Number,1,1,1,0,0,0,0,0,0,3,0,13
7,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Alcohol,"",Number,95,6,7,1,0,0,0,0,0,108,1,0
8,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,93,4,7,1,0,0,0,0,0,104,1,0
9,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Alcohol,"",Number,2,2,0,0,0,0,0,0,0,4,0,8
10,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Alcohol,"",Number,94,6,2,0,0,0,0,0,0,102,0,0
11,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,94,6,1,0,0,0,0,0,0,101,0,0
12,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Alcohol,"",Number,0,0,1,0,0,0,0,0,0,1,0,17
13,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Alcohol,"",Number,94,8,1,0,0,0,0,0,0,103,0,0
14,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,94,8,1,0,0,0,0,0,0,103,0,0
15,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Alcohol,"",Number,0,0,0,0,0,0,0,0,0,0,0,0
16,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,All,d,Number,267,33,16,1,0,0,0,0,0,316,1,0
17,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",All,d,Number,240,25,10,1,0,0,0,0,0,275,1,0
18,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",All,d,Number,27,8,6,0,0,0,0,0,0,41,0,1
19,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,All,d,Number,240,24,19,1,0,0,0,0,0,283,1,0
20,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",All,d,Number,223,14,10,0,0,0,0,0,0,247,0,0
21,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",All,d,Number,17,10,9,1,0,0,0,0,0,36,1,12
22,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,All,d,Number,283,14,9,5,1,0,0,0,0,306,6,0
23,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",All,d,Number,277,7,7,2,0,0,0,0,0,291,2,0
24,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",All,d,Number,6,7,2,3,1,0,0,0,0,15,4,13
25,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,All,d,Number,248,10,4,2,0,0,0,0,0,262,2,0
26,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",All,d,Number,242,9,1,1,0,0,0,0,0,252,1,0
27,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",All,d,Number,6,1,3,1,0,0,0,0,0,10,1,4
28,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,All,d,Number,230,18,6,3,2,0,0,0,0,254,5,0
29,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",All,d,Number,226,8,1,0,0,0,0,0,0,235,0,0
30,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",All,d,Number,4,10,5,3,2,0,0,0,0,19,5,13.5
31,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Co-dependency,"",Number,39,2,2,0,0,0,0,0,0,43,0,0
32,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,39,0,0,0,0,0,0,0,0,39,0,0
33,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Co-dependency,"",Number,0,2,2,0,0,0,0,0,0,4,0,12
34,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Co-dependency,"",Number,47,2,1,0,0,0,0,0,0,50,0,0
35,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,47,1,0,0,0,0,0,0,0,48,0,0
36,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Co-dependency,"",Number,0,1,1,0,0,0,0,0,0,2,0,11.5
37,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Co-dependency,"",Number,49,3,0,0,0,0,0,0,0,52,0,0
38,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,49,1,0,0,0,0,0,0,0,50,0,0
39,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Co-dependency,"",Number,0,2,0,0,0,0,0,0,0,2,0,14
40,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Co-dependency,"",Number,41,1,0,0,0,0,0,0,0,42,0,0
41,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,41,1,0,0,0,0,0,0,0,42,0,0
42,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Co-dependency,"",Number,0,0,0,0,0,0,0,0,0,0,0,0
43,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Co-dependency,"",Number,38,3,1,0,0,0,0,0,0,42,0,0
44,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,38,0,0,0,0,0,0,0,0,38,0,0
45,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Co-dependency,"",Number,0,3,1,0,0,0,0,0,0,4,0,12.5
46,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Drug,"",Number,110,6,4,0,0,0,0,0,0,120,0,0
47,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Drug,"",Number,85,2,0,0,0,0,0,0,0,87,0,0
48,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Drug,"",Number,25,4,4,0,0,0,0,0,0,33,0,0
49,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Drug,"",Number,114,10,7,1,0,0,0,0,0,131,1,0
50,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Drug,"",Number,98,2,0,0,0,0,0,0,0,100,0,0
51,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Drug,"",Number,16,8,7,1,0,0,0,0,0,31,1,9.5
52,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Drug,"",Number,139,5,2,4,1,0,0,0,0,146,5,0
53,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Drug,"",Number,135,2,0,1,0,0,0,0,0,137,1,0
54,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Drug,"",Number,4,3,2,3,1,0,0,0,0,9,4,13
55,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Drug,"",Number,113,3,2,2,0,0,0,0,0,118,2,0
