_id,Month,Hospital,TotalOperations,TotalOperationsQF,TotalCancelled,TotalCancelledQF,CancelledByPatientReason,CancelledByPatientReasonQF,ClinicalReason,ClinicalReasonQF,NonClinicalCapacityReason,NonClinicalCapacityReasonQF,OtherReason,OtherReasonQF
1,201505,A111H,884,"",67,"",21,"",25,"",16,"",5,""
2,201506,A111H,945,"",84,"",39,"",30,"",12,"",3,""
3,201507,A111H,948,"",72,"",25,"",33,"",6,"",8,""
4,201508,A111H,882,"",74,"",42,"",18,"",12,"",2,""
5,201509,A111H,845,"",67,"",32,"",30,"",3,"",2,""
6,201510,A111H,897,"",72,"",33,"",34,"",4,"",1,""
7,201511,A111H,919,"",78,"",26,"",25,"",25,"",2,""
8,201512,A111H,882,"",80,"",46,"",19,"",11,"",4,""
9,201601,A111H,859,"",69,"",34,"",18,"",15,"",2,""
10,201602,A111H,952,"",81,"",34,"",27,"",16,"",4,""
11,201603,A111H,1002,"",79,"",30,"",30,"",12,"",7,""
12,201604,A111H,953,"",62,"",32,"",18,"",11,"",1,""
13,201605,A111H,919,"",58,"",26,"",21,"",4,"",7,""
14,201606,A111H,1043,"",85,"",36,"",28,"",16,"",5,""
15,201607,A111H,854,"",74,"",40,"",25,"",5,"",4,""
16,201608,A111H,939,"",68,"",32,"",30,"",2,"",4,""
17,201609,A111H,817,"",81,"",36,"",21,"",14,"",10,""
18,201610,A111H,908,"",69,"",29,"",21,"",13,"",6,""
19,201611,A111H,1004,"",80,"",36,"",33,"",5,"",6,""
20,201612,A111H,865,"",63,"",31,"",23,"",5,"",4,""
21,201701,A111H,876,"",74,"",39,"",29,"",4,"",2,""
22,201702,A111H,866,"",85,"",31,"",32,"",21,"",1,""
23,201703,A111H,982,"",65,"",30,"",27,"",7,"",1,""
24,201704,A111H,771,"",77,"",36,"",28,"",11,"",2,""
25,201705,A111H,929,"",100,"",40,"",38,"",21,"",1,""
26,201706,A111H,899,"",65,"",30,"",28,"",5,"",2,""
27,201707,A111H,524,"",48,"",23,"",21,"",4,"",0,""
28,201708,A111H,788,"",59,"",30,"",22,"",7,"",0,""
29,201709,A111H,744,"",75,"",20,"",22,"",32,"",1,""
30,201710,A111H,899,"",57,"",29,"",22,"",5,"",1,""
31,201711,A111H,822,"",59,"",30,"",19,"",8,"",2,""
32,201712,A111H,675,"",32,"",10,"",11,"",10,"",1,""
33,201801,A111H,800,"",86,"",7,"",11,"",63,"",5,""
34,201802,A111H,764,"",104,"",27,"",25,"",38,"",14,""
35,201803,A111H,862,"",84,"",34,"",27,"",10,"",13,""
36,201804,A111H,785,"",75,"",25,"",29,"",14,"",7,""
37,201805,A111H,886,"",63,"",22,"",28,"",11,"",2,""
38,201806,A111H,849,"",75,"",31,"",35,"",8,"",1,""
39,201807,A111H,832,"",79,"",34,"",33,"",8,"",4,""
40,201808,A111H,810,"",71,"",34,"",25,"",6,"",6,""
41,201809,A111H,712,"",76,"",30,"",30,"",14,"",2,""
